GEO_ID,NAME,S1903_C01_001E,S1903_C01_002E,S1903_C01_003E,S1903_C01_005E,S1903_C01_009E,S1903_C01_010E,S1903_C03_001E,S1903_C03_002E,S1903_C03_003E,S1903_C03_005E,S1903_C03_009E,S1903_C03_010E
Geography,Geographic Area Name,Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White,Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American,Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian,Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race),"Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino",Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race),"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino"
1400000US48113000100,"Census Tract 1, Dallas County, Texas",1797,1441,188,63,94,1359,127625,153438,76667,-,61944,161573
1400000US48113000201,"Census Tract 2.01, Dallas County, Texas",1278,1225,33,12,38,1187,156000,163393,-,-,183250,163036
1400000US48113000202,"Census Tract 2.02, Dallas County, Texas",1850,1664,51,30,161,1555,123571,136563,61555,-,-,138594
1400000US48113000300,"Census Tract 3, Dallas County, Texas",2111,1873,22,19,224,1811,86741,88665,-,-,86149,88114
1400000US48113000401,"Census Tract 4.01, Dallas County, Texas",1781,1148,322,116,706,589,52347,51429,63633,49063,51714,50179
1400000US48113000405,"Census Tract 4.05, Dallas County, Texas",1290,708,502,33,315,419,41121,54931,35128,-,43042,69152
1400000US48113000407,"Census Tract 4.07, Dallas County, Texas",954,755,116,73,480,294,45987,42109,52826,-,41313,-
1400000US48113000408,"Census Tract 4.08, Dallas County, Texas",1480,1032,161,171,229,852,75807,76745,58688,80134,77344,76875
1400000US48113000409,"Census Tract 4.09, Dallas County, Texas",2270,986,243,571,493,776,58547,64153,-,36375,73651,63024
