"GEO_ID","NAME","B25077_001M","B25077_001E",
"Geography","Geographic Area Name","Margin of Error!!Median value (dollars)","Estimate!!Median value (dollars)",
"1400000US48113000100","Census Tract 1, Dallas County, Texas","27991","377300",
"1400000US48113000201","Census Tract 2.01, Dallas County, Texas","20359","324300",
"1400000US48113000202","Census Tract 2.02, Dallas County, Texas","30079","301300",
"1400000US48113000300","Census Tract 3, Dallas County, Texas","43835","299100",
"1400000US48113000401","Census Tract 4.01, Dallas County, Texas","10473","137200",
"1400000US48113000404","Census Tract 4.04, Dallas County, Texas","14757","97400",
"1400000US48113000405","Census Tract 4.05, Dallas County, Texas","88988","114900",
"1400000US48113000406","Census Tract 4.06, Dallas County, Texas","10720","99400",
"1400000US48113000500","Census Tract 5, Dallas County, Texas","23518","222200",
"1400000US48113000601","Census Tract 6.01, Dallas County, Texas","72151","220400",
"1400000US48113000603","Census Tract 6.03, Dallas County, Texas","45177","297900",
"1400000US48113000605","Census Tract 6.05, Dallas County, Texas","35125","237900",
"1400000US48113000606","Census Tract 6.06, Dallas County, Texas","33177","220600",
"1400000US48113000701","Census Tract 7.01, Dallas County, Texas","27784","275700",
"1400000US48113000702","Census Tract 7.02, Dallas County, Texas","109026","304000",
"1400000US48113000800","Census Tract 8, Dallas County, Texas","16195","104000",
"1400000US48113000900","Census Tract 9, Dallas County, Texas","130271","242700",
"1400000US48113001001","Census Tract 10.01, Dallas County, Texas","22610","243900",
"1400000US48113001002","Census Tract 10.02, Dallas County, Texas","61889","170800",
"1400000US48113001101","Census Tract 11.01, Dallas County, Texas","24144","265800",
"1400000US48113001102","Census Tract 11.02, Dallas County, Texas","65470","317300",
"1400000US48113001202","Census Tract 12.02, Dallas County, Texas","32314","289700",
"1400000US48113001203","Census Tract 12.03, Dallas County, Texas","36735","134900",
"1400000US48113001204","Census Tract 12.04, Dallas County, Texas","10484","95300",
"1400000US48113001301","Census Tract 13.01, Dallas County, Texas","50686","290900",
"1400000US48113001302","Census Tract 13.02, Dallas County, Texas","87975","384400",
"1400000US48113001400","Census Tract 14, Dallas County, Texas","152513","388300",
"1400000US48113001502","Census Tract 15.02, Dallas County, Texas","13021","109200",
"1400000US48113001503","Census Tract 15.03, Dallas County, Texas","**","-",
"1400000US48113001504","Census Tract 15.04, Dallas County, Texas","113162","286700",
"1400000US48113001600","Census Tract 16, Dallas County, Texas","29128","200700",
"1400000US48113001701","Census Tract 17.01, Dallas County, Texas","822004","525000",
"1400000US48113001703","Census Tract 17.03, Dallas County, Texas","66521","344500",
"1400000US48113001704","Census Tract 17.04, Dallas County, Texas","62353","336400",
"1400000US48113001800","Census Tract 18, Dallas County, Texas","55422","184700",
"1400000US48113001900","Census Tract 19, Dallas County, Texas","48668","662600",
"1400000US48113002000","Census Tract 20, Dallas County, Texas","25099","66500",
"1400000US48113002100","Census Tract 21, Dallas County, Texas","**","-",
"1400000US48113002200","Census Tract 22, Dallas County, Texas","90939","155000",
"1400000US48113002400","Census Tract 24, Dallas County, Texas","17192","84600",
"1400000US48113002500","Census Tract 25, Dallas County, Texas","3618","81300",
"1400000US48113002701","Census Tract 27.01, Dallas County, Texas","4193","36600",
"1400000US48113002702","Census Tract 27.02, Dallas County, Texas","2613","38400",
"1400000US48113003101","Census Tract 31.01, Dallas County, Texas","27775","211000",
"1400000US48113003400","Census Tract 34, Dallas County, Texas","27413","93500",
"1400000US48113003700","Census Tract 37, Dallas County, Texas","9936","46100",
"1400000US48113003800","Census Tract 38, Dallas County, Texas","22945","52300",
"1400000US48113003901","Census Tract 39.01, Dallas County, Texas","14575","42000",
"1400000US48113003902","Census Tract 39.02, Dallas County, Texas","3151","44900",
"1400000US48113004000","Census Tract 40, Dallas County, Texas","28712","53200",
"1400000US48113004100","Census Tract 41, Dallas County, Texas","10138","33600",
"1400000US48113004201","Census Tract 42.01, Dallas County, Texas","28271","188000",
"1400000US48113004202","Census Tract 42.02, Dallas County, Texas","24678","154600",
"1400000US48113004300","Census Tract 43, Dallas County, Texas","37714","49000",
"1400000US48113004400","Census Tract 44, Dallas County, Texas","28602","326100",
"1400000US48113004500","Census Tract 45, Dallas County, Texas","10268","108700",
"1400000US48113004600","Census Tract 46, Dallas County, Texas","14436","189100",
"1400000US48113004700","Census Tract 47, Dallas County, Texas","9720","68600",
"1400000US48113004800","Census Tract 48, Dallas County, Texas","18581","80000",
"1400000US48113004900","Census Tract 49, Dallas County, Texas","5692","53300",
"1400000US48113005000","Census Tract 50, Dallas County, Texas","27867","80100",
"1400000US48113005100","Census Tract 51, Dallas County, Texas","6531","79600",
"1400000US48113005200","Census Tract 52, Dallas County, Texas","15445","98400",
"1400000US48113005300","Census Tract 53, Dallas County, Texas","5277","90200",
"1400000US48113005400","Census Tract 54, Dallas County, Texas","11174","71500",
"1400000US48113005500","Census Tract 55, Dallas County, Texas","15013","72300",
"1400000US48113005600","Census Tract 56, Dallas County, Texas","4190","58300",
"1400000US48113005700","Census Tract 57, Dallas County, Texas","6794","48700",
"1400000US48113005901","Census Tract 59.01, Dallas County, Texas","3192","64200",
"1400000US48113005902","Census Tract 59.02, Dallas County, Texas","5778","63500",
"1400000US48113006001","Census Tract 60.01, Dallas County, Texas","7183","80400",
"1400000US48113006002","Census Tract 60.02, Dallas County, Texas","13614","113100",
"1400000US48113006100","Census Tract 61, Dallas County, Texas","8601","122500",
"1400000US48113006200","Census Tract 62, Dallas County, Texas","11200","88900",
"1400000US48113006301","Census Tract 63.01, Dallas County, Texas","6383","82100",
"1400000US48113006302","Census Tract 63.02, Dallas County, Texas","5086","90900",
"1400000US48113006401","Census Tract 64.01, Dallas County, Texas","6748","87000",
"1400000US48113006402","Census Tract 64.02, Dallas County, Texas","3372","84000",
"1400000US48113006501","Census Tract 65.01, Dallas County, Texas","4774","91000",
"1400000US48113006502","Census Tract 65.02, Dallas County, Texas","10144","82600",
"1400000US48113006700","Census Tract 67, Dallas County, Texas","4883","82300",
"1400000US48113006800","Census Tract 68, Dallas County, Texas","7920","83100",
"1400000US48113006900","Census Tract 69, Dallas County, Texas","19810","132400",
"1400000US48113007101","Census Tract 71.01, Dallas County, Texas","117929","656000",
"1400000US48113007102","Census Tract 71.02, Dallas County, Texas","12436","129000",
"1400000US48113007201","Census Tract 72.01, Dallas County, Texas","17596","104500",
"1400000US48113007202","Census Tract 72.02, Dallas County, Texas","3663","132500",
"1400000US48113007301","Census Tract 73.01, Dallas County, Texas","65928","629300",
"1400000US48113007302","Census Tract 73.02, Dallas County, Texas","80033","439300",
"1400000US48113007601","Census Tract 76.01, Dallas County, Texas","137476","467300",
"1400000US48113007604","Census Tract 76.04, Dallas County, Texas","***","1,000,000+",
"1400000US48113007605","Census Tract 76.05, Dallas County, Texas","154360","501300",
"1400000US48113007700","Census Tract 77, Dallas County, Texas","64633","468900",
"1400000US48113007801","Census Tract 78.01, Dallas County, Texas","34132","596100",
"1400000US48113007804","Census Tract 78.04, Dallas County, Texas","16909","80300",
"1400000US48113007805","Census Tract 78.05, Dallas County, Texas","5281","139400",
"1400000US48113007809","Census Tract 78.09, Dallas County, Texas","17642","214500",
"1400000US48113007810","Census Tract 78.10, Dallas County, Texas","14468","273600",
"1400000US48113007811","Census Tract 78.11, Dallas County, Texas","56378","78300",
