"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US48113000100","Census Tract 1, Dallas County, Texas","750000","124356",
"1400000US48113000201","Census Tract 2.01, Dallas County, Texas","480300","38371",
"1400000US48113000202","Census Tract 2.02, Dallas County, Texas","491000","57172",
"1400000US48113000300","Census Tract 3, Dallas County, Texas","523500","71774",
"1400000US48113000401","Census Tract 4.01, Dallas County, Texas","-","**",
"1400000US48113000405","Census Tract 4.05, Dallas County, Texas","195500","41474",
"1400000US48113000407","Census Tract 4.07, Dallas County, Texas","321900","200014",
"1400000US48113000408","Census Tract 4.08, Dallas County, Texas","159100","34257",
"1400000US48113000409","Census Tract 4.09, Dallas County, Texas","-","**",
"1400000US48113000410","Census Tract 4.10, Dallas County, Texas","174700","111879",
"1400000US48113000501","Census Tract 5.01, Dallas County, Texas","-","**",
"1400000US48113000502","Census Tract 5.02, Dallas County, Texas","566500","81949",
"1400000US48113000503","Census Tract 5.03, Dallas County, Texas","185700","14491",
"1400000US48113000605","Census Tract 6.05, Dallas County, Texas","287100","42953",
"1400000US48113000606","Census Tract 6.06, Dallas County, Texas","382600","147761",
"1400000US48113000607","Census Tract 6.07, Dallas County, Texas","419600","141255",
"1400000US48113000608","Census Tract 6.08, Dallas County, Texas","412700","90230",
"1400000US48113000609","Census Tract 6.09, Dallas County, Texas","579000","258842",
"1400000US48113000610","Census Tract 6.10, Dallas County, Texas","-","**",
"1400000US48113000611","Census Tract 6.11, Dallas County, Texas","195600","25644",
"1400000US48113000703","Census Tract 7.03, Dallas County, Texas","374300","35492",
"1400000US48113000704","Census Tract 7.04, Dallas County, Texas","-","**",
"1400000US48113000705","Census Tract 7.05, Dallas County, Texas","335600","95161",
"1400000US48113000706","Census Tract 7.06, Dallas County, Texas","430600","55857",
"1400000US48113000801","Census Tract 8.01, Dallas County, Texas","358700","61783",
"1400000US48113000802","Census Tract 8.02, Dallas County, Texas","611100","173699",
"1400000US48113000901","Census Tract 9.01, Dallas County, Texas","356800","71630",
"1400000US48113000902","Census Tract 9.02, Dallas County, Texas","492500","97298",
"1400000US48113001001","Census Tract 10.01, Dallas County, Texas","641100","51532",
"1400000US48113001002","Census Tract 10.02, Dallas County, Texas","554000","150250",
"1400000US48113001101","Census Tract 11.01, Dallas County, Texas","455000","18326",
"1400000US48113001102","Census Tract 11.02, Dallas County, Texas","562100","199497",
"1400000US48113001202","Census Tract 12.02, Dallas County, Texas","452400","41146",
"1400000US48113001203","Census Tract 12.03, Dallas County, Texas","386800","79274",
"1400000US48113001204","Census Tract 12.04, Dallas County, Texas","123000","35939",
"1400000US48113001301","Census Tract 13.01, Dallas County, Texas","339800","54516",
"1400000US48113001302","Census Tract 13.02, Dallas County, Texas","537800","76048",
"1400000US48113001400","Census Tract 14, Dallas County, Texas","521800","153982",
"1400000US48113001502","Census Tract 15.02, Dallas County, Texas","200000","72099",
"1400000US48113001503","Census Tract 15.03, Dallas County, Texas","350000","202706",
"1400000US48113001504","Census Tract 15.04, Dallas County, Texas","345000","24564",
"1400000US48113001601","Census Tract 16.01, Dallas County, Texas","355300","176841",
"1400000US48113001602","Census Tract 16.02, Dallas County, Texas","337600","24074",
"1400000US48113001703","Census Tract 17.03, Dallas County, Texas","466500","63719",
"1400000US48113001705","Census Tract 17.05, Dallas County, Texas","406300","129275",
"1400000US48113001801","Census Tract 18.01, Dallas County, Texas","-","**",
"1400000US48113001802","Census Tract 18.02, Dallas County, Texas","-","**",
"1400000US48113001901","Census Tract 19.01, Dallas County, Texas","772100","265427",
"1400000US48113001902","Census Tract 19.02, Dallas County, Texas","-","**",
"1400000US48113002001","Census Tract 20.01, Dallas County, Texas","473500","43455",
"1400000US48113002002","Census Tract 20.02, Dallas County, Texas","-","**",
"1400000US48113002100","Census Tract 21, Dallas County, Texas","1666700","242759",
"1400000US48113002200","Census Tract 22, Dallas County, Texas","367300","42958",
"1400000US48113002400","Census Tract 24, Dallas County, Texas","143300","31330",
"1400000US48113002500","Census Tract 25, Dallas County, Texas","81300","14553",
"1400000US48113002703","Census Tract 27.03, Dallas County, Texas","64200","40986",
"1400000US48113003102","Census Tract 31.02, Dallas County, Texas","290200","83344",
"1400000US48113003103","Census Tract 31.03, Dallas County, Texas","564600","357750",
"1400000US48113003700","Census Tract 37, Dallas County, Texas","65700","21802",
"1400000US48113004201","Census Tract 42.01, Dallas County, Texas","445300","71643",
"1400000US48113004202","Census Tract 42.02, Dallas County, Texas","395700","37966",
"1400000US48113004300","Census Tract 43, Dallas County, Texas","116800","44032",
"1400000US48113004400","Census Tract 44, Dallas County, Texas","551300","58020",
"1400000US48113004500","Census Tract 45, Dallas County, Texas","237700","38987",
"1400000US48113004600","Census Tract 46, Dallas County, Texas","409900","26987",
"1400000US48113004700","Census Tract 47, Dallas County, Texas","335500","95814",
"1400000US48113004800","Census Tract 48, Dallas County, Texas","156900","33932",
"1400000US48113005000","Census Tract 50, Dallas County, Texas","157000","22327",
"1400000US48113005100","Census Tract 51, Dallas County, Texas","198200","43335",
"1400000US48113005200","Census Tract 52, Dallas County, Texas","257300","67368",
"1400000US48113005300","Census Tract 53, Dallas County, Texas","108100","13230",
"1400000US48113005400","Census Tract 54, Dallas County, Texas","133100","38893",
"1400000US48113005500","Census Tract 55, Dallas County, Texas","75600","3430",
"1400000US48113005600","Census Tract 56, Dallas County, Texas","66500","4647",
"1400000US48113005700","Census Tract 57, Dallas County, Texas","97500","32522",
"1400000US48113005901","Census Tract 59.01, Dallas County, Texas","73700","8299",
"1400000US48113005902","Census Tract 59.02, Dallas County, Texas","75500","11151",
"1400000US48113006001","Census Tract 60.01, Dallas County, Texas","117000","47162",
"1400000US48113006002","Census Tract 60.02, Dallas County, Texas","126600","26315",
"1400000US48113006100","Census Tract 61, Dallas County, Texas","209100","25063",
"1400000US48113006200","Census Tract 62, Dallas County, Texas","198900","37894",
"1400000US48113006301","Census Tract 63.01, Dallas County, Texas","138500","16218",
"1400000US48113006302","Census Tract 63.02, Dallas County, Texas","108300","55648",
"1400000US48113006401","Census Tract 64.01, Dallas County, Texas","128900","19357",
"1400000US48113006402","Census Tract 64.02, Dallas County, Texas","114400","35769",
"1400000US48113006501","Census Tract 65.01, Dallas County, Texas","118000","8753",
"1400000US48113006502","Census Tract 65.02, Dallas County, Texas","101000","9159",
"1400000US48113006701","Census Tract 67.01, Dallas County, Texas","146900","49703",
"1400000US48113006702","Census Tract 67.02, Dallas County, Texas","109500","14446",
"1400000US48113006800","Census Tract 68, Dallas County, Texas","182400","39212",
"1400000US48113006900","Census Tract 69, Dallas County, Texas","188200","19260",
"1400000US48113007101","Census Tract 71.01, Dallas County, Texas","792700","156595",
"1400000US48113007102","Census Tract 71.02, Dallas County, Texas","228600","20672",
"1400000US48113007203","Census Tract 72.03, Dallas County, Texas","-","**",
"1400000US48113007204","Census Tract 72.04, Dallas County, Texas","160200","76580",
"1400000US48113007205","Census Tract 72.05, Dallas County, Texas","95200","38922",
"1400000US48113007206","Census Tract 72.06, Dallas County, Texas","-","**",
"1400000US48113007301","Census Tract 73.01, Dallas County, Texas","961900","111858",
"1400000US48113007302","Census Tract 73.02, Dallas County, Texas","782500","170429",
"1400000US48113007601","Census Tract 76.01, Dallas County, Texas","705100","75508",
"1400000US48113007604","Census Tract 76.04, Dallas County, Texas","1208000","133405",
"1400000US48113007605","Census Tract 76.05, Dallas County, Texas","697700","306592",
"1400000US48113007701","Census Tract 77.01, Dallas County, Texas","770600","193188",
"1400000US48113007702","Census Tract 77.02, Dallas County, Texas","532500","158210",
"1400000US48113007801","Census Tract 78.01, Dallas County, Texas","723900","62308",
"1400000US48113007805","Census Tract 78.05, Dallas County, Texas","223600","35749",
"1400000US48113007809","Census Tract 78.09, Dallas County, Texas","320500","58002",
"1400000US48113007810","Census Tract 78.10, Dallas County, Texas","395400","30767",
"1400000US48113007812","Census Tract 78.12, Dallas County, Texas","466700","18807",
"1400000US48113007815","Census Tract 78.15, Dallas County, Texas","76700","14877",
"1400000US48113007819","Census Tract 78.19, Dallas County, Texas","159000","112948",
"1400000US48113007821","Census Tract 78.21, Dallas County, Texas","-","**",
"1400000US48113007822","Census Tract 78.22, Dallas County, Texas","-","**",
"1400000US48113007823","Census Tract 78.23, Dallas County, Texas","375000","345396",
"1400000US48113007824","Census Tract 78.24, Dallas County, Texas","473000","46989",
"1400000US48113007825","Census Tract 78.25, Dallas County, Texas","457200","125551",
"1400000US48113007826","Census Tract 78.26, Dallas County, Texas","-","**",
"1400000US48113007827","Census Tract 78.27, Dallas County, Texas","163400","69038",
"1400000US48113007828","Census Tract 78.28, Dallas County, Texas","-","**",
"1400000US48113007829","Census Tract 78.29, Dallas County, Texas","98200","80907",
"1400000US48113007830","Census Tract 78.30, Dallas County, Texas","-","**",
"1400000US48113007831","Census Tract 78.31, Dallas County, Texas","-","**",
"1400000US48113007832","Census Tract 78.32, Dallas County, Texas","139400","73733",
"1400000US48113007833","Census Tract 78.33, Dallas County, Texas","-","**",
"1400000US48113007834","Census Tract 78.34, Dallas County, Texas","-","**",
"1400000US48113007835","Census Tract 78.35, Dallas County, Texas","160800","80018",
"1400000US48113007902","Census Tract 79.02, Dallas County, Texas","376200","29370",
"1400000US48113007903","Census Tract 79.03, Dallas County, Texas","498700","49809",
"1400000US48113007906","Census Tract 79.06, Dallas County, Texas","1033700","91401",
"1400000US48113007909","Census Tract 79.09, Dallas County, Texas","-","**",
"1400000US48113007910","Census Tract 79.10, Dallas County, Texas","-","**",
"1400000US48113007912","Census Tract 79.12, Dallas County, Texas","-","**",
"1400000US48113007913","Census Tract 79.13, Dallas County, Texas","158700","21936",
"1400000US48113007914","Census Tract 79.14, Dallas County, Texas","189700","24737",
"1400000US48113007915","Census Tract 79.15, Dallas County, Texas","-","**",
"1400000US48113007916","Census Tract 79.16, Dallas County, Texas","-","**",
"1400000US48113008000","Census Tract 80, Dallas County, Texas","830900","117722",
"1400000US48113008101","Census Tract 81.01, Dallas County, Texas","-","**",
"1400000US48113008102","Census Tract 81.02, Dallas County, Texas","430100","39055",
"1400000US48113008200","Census Tract 82, Dallas County, Texas","397600","29962",
"1400000US48113008401","Census Tract 84.01, Dallas County, Texas","115800","29292",
"1400000US48113008402","Census Tract 84.02, Dallas County, Texas","119500","22044",
"1400000US48113008500","Census Tract 85, Dallas County, Texas","83800","12310",
"1400000US48113008604","Census Tract 86.04, Dallas County, Texas","75200","9933",
"1400000US48113008701","Census Tract 87.01, Dallas County, Texas","74800","3005",
"1400000US48113008703","Census Tract 87.03, Dallas County, Texas","60700","12294",
"1400000US48113008704","Census Tract 87.04, Dallas County, Texas","87400","37047",
"1400000US48113008705","Census Tract 87.05, Dallas County, Texas","59300","20369",
"1400000US48113008801","Census Tract 88.01, Dallas County, Texas","87200","15052",
"1400000US48113008802","Census Tract 88.02, Dallas County, Texas","62500","10000",
"1400000US48113009001","Census Tract 90.01, Dallas County, Texas","86400","6055",
"1400000US48113009002","Census Tract 90.02, Dallas County, Texas","106600","31779",
"1400000US48113009101","Census Tract 91.01, Dallas County, Texas","119400","10628",
"1400000US48113009103","Census Tract 91.03, Dallas County, Texas","96000","7734",
"1400000US48113009104","Census Tract 91.04, Dallas County, Texas","112300","26748",
"1400000US48113009105","Census Tract 91.05, Dallas County, Texas","82600","11597",
