TRACT,Med_Income_2010,Med_Income_2020,house_value_2010,house_value_2020
48113000100,72375.0,127625.0,306058.94482807646,530151.9351986266
48113000201,106157.0,156000.0,241187.43450391002,449849.5686008919
48113000202,77179.0,123571.0,241187.43450391002,449849.5686008919
48113000300,82917.0,86741.0,241187.43450391002,449849.5686008919
48113000401,36772.0,52347.0,218302.5650447527,337707.40373108035
48113000404,42500.0,,218302.5650447527,
48113000405,21756.0,41121.0,218302.5650447527,337707.40373108035
48113000406,32546.0,,142696.82931841616,
48113000500,47928.0,,218302.5650447527,
48113000601,43975.0,,218302.5650447527,
48113000603,67962.0,,218302.5650447527,
48113000605,68491.0,,218302.5650447527,
48113000606,100914.0,,231381.87453408915,
48113000701,97361.0,,231381.87453408915,
48113000702,58792.0,,231381.87453408915,
48113000800,33805.0,,241187.43450391002,
48113000900,30911.0,,241187.43450391002,
48113001001,70819.0,136000.0,241187.43450391002,449849.5686008919
48113001002,52136.0,115664.0,241187.43450391002,449849.5686008919
48113001101,65020.0,115639.0,241187.43450391002,449849.5686008919
48113001102,80000.0,136932.0,241187.43450391002,449849.5686008919
48113001202,33081.0,62453.0,83549.473038015,203756.8749280169
48113001203,60781.0,87188.0,71329.02384046222,530151.9351986266
48113001204,23750.0,49583.0,306058.94482807646,530151.9351986266
48113001301,40260.0,62736.0,306058.94482807646,530151.9351986266
48113001302,39844.0,62222.0,306058.94482807646,530151.9351986266
48113001400,42303.0,50558.0,241187.43450391002,449849.5686008919
48113001502,38271.0,45450.0,106149.59510876623,255774.76624098586
48113001503,20308.0,31205.0,241187.43450391002,449849.5686008919
48113001504,26250.0,57958.0,241187.43450391002,449849.5686008919
48113001600,35781.0,,231381.87453408915,
48113001701,107500.0,,526915.564891789,
48113001703,86083.0,,231381.87453408915,
48113001704,106526.0,,231381.87453408915,
48113001800,60708.0,,231381.87453408915,
48113001900,83420.0,,218302.5650447527,
48113002000,31813.0,,126467.60416593065,
48113002100,78179.0,82064.0,526915.564891789,779793.417641417
48113002200,43500.0,68605.0,306058.94482807646,402433.53917472955
48113002400,31585.0,48750.0,306058.94482807646,530151.9351986266
48113002500,27440.0,46563.0,63710.94969421043,159820.5163958777
48113002701,10396.0,,52272.982239403354,
48113002702,18494.0,,52131.20470806839,
48113003101,60789.0,,526915.564891789,
48113003400,22390.0,,52131.20470806839,
48113003700,21233.0,31736.0,52131.20470806839,108569.49358180475
48113003800,18344.0,,52131.20470806839,
48113003901,15132.0,,52131.20470806839,
48113003902,21536.0,,52131.20470806839,
48113004000,22102.0,,52131.20470806839,
48113004100,10814.0,,49195.710306247674,
48113004201,41721.0,69398.0,126467.60416593065,311331.04379613313
48113004202,35929.0,69961.0,126467.60416593065,311331.04379613313
48113004300,37225.0,57036.0,126467.60416593065,311331.04379613313
48113004400,81016.0,128750.0,126467.60416593065,311331.04379613313
48113004500,48278.0,56791.0,72126.71568105095,166637.54360504556
48113004600,54205.0,68828.0,126467.60416593065,311331.04379613313
48113004700,29639.0,51490.0,126467.60416593065,311331.04379613313
48113004800,28514.0,46087.0,126467.60416593065,311331.04379613313
48113004900,24640.0,,49100.889172724805,
48113005000,36890.0,44507.0,126467.60416593065,311331.04379613313
48113005100,29089.0,53362.0,126467.60416593065,311331.04379613313
48113005200,42011.0,82353.0,126467.60416593065,311331.04379613313
48113005300,45489.0,46473.0,72126.71568105095,166637.54360504556
48113005400,26746.0,41202.0,49100.889172724805,123595.85600034776
48113005500,24548.0,51591.0,49100.889172724805,123595.85600034776
48113005600,26007.0,48329.0,49100.889172724805,123595.85600034776
48113005700,23567.0,32143.0,49100.889172724805,123595.85600034776
48113005901,28303.0,35421.0,49100.889172724805,123595.85600034776
48113005902,27887.0,32500.0,49100.889172724805,123595.85600034776
48113006001,31672.0,49411.0,72783.3453976533,175953.4687446621
48113006002,24167.0,29024.0,72783.3453976533,175953.4687446621
48113006100,31573.0,41667.0,72783.3453976533,175953.4687446621
48113006200,39349.0,43304.0,72783.3453976533,175953.4687446621
48113006301,33750.0,59588.0,72783.3453976533,175953.4687446621
48113006302,37067.0,61184.0,72783.3453976533,175953.4687446621
48113006401,42097.0,,72126.71568105095,
48113006402,32046.0,,72126.71568105095,
48113006501,42616.0,55745.0,72126.71568105095,166637.54360504556
48113006502,37005.0,57917.0,72126.71568105095,166637.54360504556
